Day,YTS,WIP,APPROVED
0.0,1.0,0.0,0.0
0.05,0.9523809523809523,0.047619047619047616,0.0
0.05,0.8571428571428571,0.14285714285714285,0.0
0.07500000000000001,0.8095238095238095,0.19047619047619047,0.0
0.1,0.6190476190476191,0.38095238095238093,0.0
0.1,0.5238095238095237,0.47619047619047616,0.0
0.125,0.3333333333333333,0.6666666666666666,0.0
0.15000000000000002,0.23809523809523808,0.7619047619047619,0.0
0.17500000000000002,0.09523809523809523,0.9047619047619047,0.0
0.225,0.09523809523809523,0.9047619047619047,0.0
0.25,0.09523809523809523,0.9047619047619047,0.0
0.25,0.047619047619047616,0.9523809523809523,0.0
0.30000000000000004,0.0,1.0,0.0
0.325,0.0,1.0,0.0
0.325,0.0,1.0,0.0
0.325,0.0,1.0,0.0
0.35000000000000003,0.0,1.0,0.0
0.35000000000000003,0.0,1.0,0.0
0.4,0.0,1.0,0.0
0.42500000000000004,0.0,1.0,0.0
0.42500000000000004,0.0,1.0,0.0
0.42500000000000004,0.0,1.0,0.0
0.42500000000000004,0.0,1.0,0.0
0.45,0.0,1.0,0.0
0.5750000000000001,0.0,1.0,0.0
0.5750000000000001,0.0,1.0,0.0
0.6000000000000001,0.0,1.0,0.0
0.65,0.0,1.0,0.0
0.65,0.0,1.0,0.0
0.775,0.0,1.0,0.0
0.775,0.0,1.0,0.0
0.775,0.0,1.0,0.0
0.775,0.0,1.0,0.0
0.8,0.0,1.0,0.0
0.8,0.0,1.0,0.0
0.8250000000000001,0.0,1.0,0.0
1.0,0.0,0.0,1.0
