Day,YTS,WIP,APPROVED
0,117,0,0
4,89,28,0
4,87,30,0
6,87,30,0
8,52,65,0
11,52,65,0
16,42,75,0
16,12,105,0
18,11,106,0
22,9,108,0
23,9,108,0
23,8,109,0
26,8,109,0
26,9,108,0
27,7,110,0
29,7,110,0
33,7,91,19
36,7,94,16
50,7,100,10
51,10,97,10
51,10,97,10
53,13,94,10
53,13,94,10
55,13,94,10
55,13,94,10
56,13,44,60
57,11,46,60
58,11,38,68
61,11,36,70
62,8,39,70
62,7,40,70
63,7,28,82
63,5,30,82
63,2,33,82
63,1,21,95
64,1,17,99
65,1,12,104
67,0,13,104
68,0,4,113
70,0,0,117
