Day,YTS,WIP,APPROVED
0,68,0,0
2,67,1,0
2,65,3,0
2,61,7,0
3,57,11,0
3,56,12,0
4,56,12,0
4,51,17,0
4,50,18,0
5,48,20,0
5,44,24,0
6,44,24,0
6,41,27,0
6,40,28,0
7,40,28,0
7,32,36,0
8,30,38,0
8,29,39,0
9,36,32,0
10,36,26,6
10,34,28,6
10,34,26,8
10,34,27,9
11,34,27,9
11,31,30,9
12,31,22,17
12,29,24,17
12,26,27,17
13,26,27,17
13,24,29,17
13,18,35,17
14,18,24,26
14,17,25,26
16,12,30,26
16,10,32,26
16,9,33,26
17,9,27,32
17,8,28,32
18,8,28,32
19,8,19,41
19,6,21,41
19,4,23,41
20,4,17,47
20,1,21,47
21,1,17,50
21,0,18,50
21,0,16,52
24,0,9,59
35,0,0,68
