Day,YTS,WIP,APPROVED
0,475,0,0
3,465,10,0
3,463,12,0
3,460,15,0
3,448,27,0
3,427,48,0
3,402,73,0
4,388,87,0
4,382,93,0
4,491,94,0
4,537,94,0
6,518,113,0
6,516,115,0
6,510,121,0
6,506,125,0
7,492,139,0
7,485,146,0
7,480,151,0
7,479,152,0
8,476,155,0
8,475,156,0
8,474,157,0
9,469,162,0
9,456,175,0
9,451,180,0
9,445,186,0
9,444,187,0
10,439,192,0
11,437,194,0
11,436,195,0
13,436,196,0
13,430,202,0
13,429,203,0
13,426,206,0
14,421,211,0
14,420,212,0
15,425,207,0
15,423,209,0
15,415,217,0
15,413,219,0
16,410,222,0
16,385,222,25
16,384,223,25
17,381,226,25
17,377,230,25
17,371,236,25
17,368,239,25
17,367,240,25
17,366,241,25
18,363,245,25
20,365,245,25
20,364,246,25
20,362,248,25
20,358,252,25
21,357,252,25
21,356,253,25
21,356,252,26
22,350,258,26
23,347,261,26
23,346,262,26
23,342,266,26
23,341,267,26
23,340,268,26
23,315,293,26
27,311,293,26
27,304,300,26
27,301,303,26
27,292,312,26
28,290,314,26
28,286,318,26
28,266,338,26
28,265,339,26
28,280,324,26
29,278,326,26
29,277,327,26
29,274,330,26
29,273,331,26
29,265,339,26
29,227,377,26
30,227,377,26
31,227,294,109
31,228,293,109
31,217,304,109
31,216,305,109
32,214,307,109
32,211,310,109
32,209,312,109
32,208,313,109
34,208,313,109
35,208,313,109
35,206,315,109
35,203,318,109
36,194,327,109
36,193,328,109
36,191,287,152
37,187,291,152
37,189,289,152
37,189,286,155
37,189,224,217
38,189,224,217
38,189,220,221
38,188,221,221
39,187,222,221
39,182,227,221
39,173,236,221
39,164,245,221
39,160,249,221
39,155,254,221
41,155,254,221
41,155,256,219
41,154,257,219
41,153,258,219
42,153,258,219
42,152,259,219
42,150,261,219
42,147,261,219
43,146,263,218
43,141,268,218
43,142,267,218
43,114,293,218
43,132,270,218
43,113,266,218
43,105,259,218
43,98,265,218
43,97,266,218
44,100,262,218
44,120,242,218
44,106,250,218
44,102,254,218
44,98,248,228
45,92,254,228
45,91,255,228
45,90,256,228
48,77,259,228
48,76,260,228
48,57,279,228
49,55,281,228
49,56,280,228
49,56,246,262
49,56,247,261
50,33,269,262
51,35,267,262
51,29,273,262
51,31,271,262
52,31,271,262
52,21,283,262
52,32,275,261
52,34,273,261
52,36,269,263
52,45,243,280
52,44,249,275
53,44,249,275
53,40,237,291
55,37,240,291
55,32,245,291
56,32,245,291
56,32,246,290
56,32,250,286
57,32,245,291
57,32,212,324
57,30,214,324
57,29,215,324
58,29,179,360
58,36,172,360
58,36,179,353
59,36,176,356
59,36,177,355
59,36,189,343
59,31,194,343
59,31,188,349
59,26,186,356
60,26,186,356
